team_ID,team_name,team_code
1,Chennai Super Kings,CSK
2,Royal Challengers Bangalore,RCB
3,Delhi Capitals,DC
4,Rajasthan Royals,RR
5,Sunrisers Hyderabad,SRH
6,Kings XI Punjab,KXIP
7,Mumbai Indians,MI
8,Kolkata Knight Riders,KKR
